,Brightness_Class,Id
0,0,11328
1,0,5781
2,0,13681
3,0,30804
4,0,30813
5,1,5983
6,0,20374
7,1,22332
8,1,17800
9,0,22064
10,0,20477
11,0,4150
12,1,155
13,1,29621
14,1,8843
16,1,26690
17,1,1926
18,0,23170
19,0,5137
20,0,25798
22,1,13555
23,1,14978
24,1,22985
25,0,18670
26,0,30384
27,0,1302
28,1,30442
29,1,26949
30,0,13382
31,0,11591
32,0,13568
33,1,66
34,0,24156
36,1,9827
37,0,9765
38,1,19051
39,0,3949
40,0,28110
41,0,11335
42,0,13380
43,1,12646
44,1,9844
45,1,3239
46,0,16593
47,0,28103
48,0,21142
49,1,24007
50,0,14411
51,0,30677
52,0,17856
53,0,3607
54,0,12691
55,0,2241
56,1,18762
57,1,22051
59,1,9523
60,1,22772
61,1,5736
62,0,23348
63,0,22657
64,0,6815
65,0,15308
66,0,1795
67,0,8227
68,0,15155
69,0,14269
70,1,2898
72,0,23180
73,1,23792
74,0,22374
75,0,1732
77,0,25873
78,1,22487
80,0,25910
81,0,15339
82,0,24778
83,0,15820
84,1,21106
85,1,5529
86,1,18512
87,0,535
88,1,14212
89,1,19750
90,0,6938
91,1,8489
92,1,14617
93,0,11466
94,0,5564
95,1,8190
96,0,27926
97,1,23451
98,0,12006
99,0,8914
100,0,27481
101,0,28052
102,0,3233
103,1,8173
104,0,9029
105,1,3140
106,0,27017
107,0,29934
108,0,2056
109,0,2831
110,0,10691
111,1,19687
112,0,27782
113,1,15795
114,1,27860
115,0,20373
116,1,6581
117,1,19983
118,0,4381
119,1,6441
120,0,10292
121,0,29534
122,1,30726
123,1,13228
124,0,833
125,0,25656
126,1,18421
127,1,14672
128,0,21862
129,0,9022
130,0,18003
131,0,5448
132,1,26192
133,0,14205
134,0,30893
135,1,22038
136,0,23851
137,0,20674
138,1,2502
139,0,13176
140,0,14092
141,1,16685
142,1,25611
143,1,7535
144,0,15851
145,1,8530
146,0,21419
147,0,18270
148,1,4064
149,0,11463
150,0,12298
152,1,8410
153,0,17493
154,1,20684
155,0,18013
156,1,1863
157,1,7204
158,0,26569
159,1,21031
160,0,17531
161,1,17190
162,1,26716
163,1,11445
164,1,1043
165,1,23438
166,0,27092
167,0,1872
168,0,9922
169,1,20111
170,0,11666
171,0,4737
173,0,18947
174,0,21945
175,1,2719
177,0,6263
178,0,12585
180,0,15739
181,1,30378
182,1,15839
183,0,12906
184,0,23845
187,0,3979
188,1,30787
189,0,12108
190,0,25330
191,1,17972
192,0,16902
193,0,28859
194,0,30169
195,1,21322
196,1,16661
197,1,11983
198,1,14184
199,0,28866
200,0,15955
201,0,11124
202,0,15563
203,0,8794
205,0,14927
206,1,22608
207,0,6107
208,0,22803
209,1,10080
210,1,7365
211,0,29160
212,0,1415
213,0,343
214,0,10304
215,1,14389
216,0,17572
217,1,23222
218,0,24638
219,0,21488
220,0,30086
221,0,12218
222,0,10365
223,0,10681
224,0,20474
225,0,6735
226,0,6622
227,1,19444
228,1,8133
229,0,15119
230,1,17732
231,0,6861
232,0,14173
234,0,2237
235,1,27093
236,1,4784
237,1,21814
238,1,13323
239,0,394
240,1,8231
241,0,3521
242,0,27137
243,0,10410
244,1,8207
245,1,26306
246,1,15043
247,0,30335
248,1,6631
249,0,26751
250,0,14650
251,0,20524
252,0,4684
253,0,14896
